dkpro-core-ldweb1t-asl,org.dkpro.core.ldweb1t.LanguageDetectorWeb1T
dkpro-core-nlp4j-asl,org.dkpro.core.nlp4j.Nlp4JLemmatizer
dkpro-core-nlp4j-asl,org.dkpro.core.nlp4j.Nlp4JNamedEntityRecognizer
dkpro-core-nlp4j-asl,org.dkpro.core.nlp4j.Nlp4JDependencyParser
dkpro-core-nlp4j-asl,org.dkpro.core.nlp4j.Nlp4JPosTagger
dkpro-core-morpha-asl,org.dkpro.core.morpha.MorphaLemmatizer
dkpro-core-matetools-gpl,org.dkpro.core.matetools.MateLemmatizer
dkpro-core-matetools-gpl,org.dkpro.core.matetools.MateMorphTagger
dkpro-core-matetools-gpl,org.dkpro.core.matetools.MateParser
dkpro-core-matetools-gpl,org.dkpro.core.matetools.MateSemanticRoleLabeler
dkpro-core-matetools-gpl,org.dkpro.core.matetools.MatePosTagger
dkpro-core-arktools-gpl,org.dkpro.core.arktools.ArktweetPosTagger
dkpro-core-udpipe-asl,org.dkpro.core.udpipe.UDPipeParser
dkpro-core-udpipe-asl,org.dkpro.core.udpipe.UDPipePosTagger
dkpro-core-commonscodec-asl,org.dkpro.core.commonscodec.PhoneticTranscriptor_ImplBase
dkpro-core-maltparser-asl,org.dkpro.core.maltparser.MaltParser
dkpro-core-lingpipe-gpl,org.dkpro.core.lingpipe.LingPipeNamedEntityRecognizer
dkpro-core-lingpipe-gpl,org.dkpro.core.lingpipe.LingPipePosTagger
dkpro-core-sfst-gpl,org.dkpro.core.sfst.SfstAnnotator
dkpro-core-languagetool-asl,org.dkpro.core.languagetool.LanguageToolChecker
dkpro-core-languagetool-asl,org.dkpro.core.languagetool.LanguageToolLemmatizer
dkpro-core-api-segmentation-asl,org.dkpro.core.api.segmentation.SegmenterBase
dkpro-core-ngrams-asl,org.dkpro.core.ngrams.NGramAnnotator
dkpro-core-norvig-asl,org.dkpro.core.norvig.NorvigSpellingCorrector
dkpro-core-testing-asl,org.dkpro.core.testing.DocumentMetaDataStripper
dkpro-core-testing-asl,org.dkpro.core.testing.TagsetDescriptionStripper
dkpro-core-gate-asl,org.dkpro.core.gate.GateLemmatizer
dkpro-core-gate-asl,org.dkpro.core.gate.HepplePosTagger
dkpro-core-io-tgrep-gpl,org.dkpro.core.io.tgrep.TGrepWriter
dkpro-core-api-featurepath-asl,org.dkpro.core.api.featurepath.FeaturePathAnnotatorBase
dkpro-core-io-text-asl,org.dkpro.core.io.text.TokenizedTextWriter
dkpro-core-ixa-asl,org.dkpro.core.ixa.IxaLemmatizer
dkpro-core-textcat-asl,org.dkpro.core.textcat.LanguageIdentifier
dkpro-core-corenlp-gpl,org.dkpro.core.corenlp.CoreNlpPosTagger
